date,ret_eom,gvkey,iid,excntry,stock_ret,year,month,char_date,char_eom,me,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,bidaskhl_21d,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,ami_126d,ivol_capm_252d,betadown_252d,prc_highprc_252d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety
20210730,20210731,347725.0,01W,AUS,-0.020143,2021,7,20210630,20210630,8.6361297867,0.1087126106,8.6361297867,,,,,,,,,,,,,,,,,11.800703373,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.10566932,,,,,,,194.21637671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145911882,,0.0,0.0,0.0,-0.038853553,-0.038853553,-0.129272008,,,,,-0.031418614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,
20210831,20210831,347725.0,01W,AUS,-0.005455,2021,8,20210730,20210731,8.4621708912,0.1065227957,8.4621708912,,,,,,,,,,,,,,,,,11.800703373,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.10566932,,,,,,,194.21637671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1489114279,,0.0,0.0,0.0,-0.039652275,-0.039652275,-0.131929484,,,,,-0.032064494,,,,,,,,0.00537858,,,,,,,0.04609394,0.06468765,0.59546484,0.44278127,1.03257367,0.06471575,0.34617587,0.06478699,0.04525977,0.09719028,0.13960927,0.0657917,0.35932868,,,,,,,,43,,,,
20210930,20210930,347725.0,01W,AUS,-0.076963,2021,9,20210831,20210831,8.4160084957,0.1059416981,8.4160084957,,,,,,,,,,,,,,,,,11.800703373,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.10566932,,,,,,,194.21637671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1497282175,,0.0,0.0,0.0,-0.039869771,-0.039869771,-0.132653126,,,,,-0.03224037,,,,,,,,0.00357781,,,,,,,0.06308949,0.06443899,-0.46472043,-0.20283463,3.80371675,0.0664821,-0.23102058,0.06339661,0.44988829,0.07745775,0.11198061,0.06520695,-0.32160799,,,,,,,,44,,,,
20211029,20211031,347725.0,01W,AUS,0.036083,2021,10,20210930,20210930,7.7682858798,0.0977880901,7.7682858798,,,,,,,,,,,,,,,,,11.800703373,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.10566932,,,,,,,194.21637671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162212613,,0.0,0.0,0.0,-0.043194127,-0.043194127,-0.143713794,,,,,-0.034928584,,,,,,,,0.00562893,24407.62375336,1.84952054,0.00290236,1.83166491,0.00488535,,0.05241017,0.07822683,0.45157025,0.1606815,-0.2957675,0.07329328,0.10532185,0.07265902,-0.12139238,0.10338756,0.15180199,0.0782456,0.4699602,10.20303883,,,,,,,45,,,,
20211129,20211130,347725.0,01W,AUS,0.018711,2021,11,20211029,20211031,8.0485928054,0.1013166265,8.0485928054,,,,,,,,,,,,,,,,,-0.554493891,,-0.344630995,,85.970088486,0.0,0.0,0.0,0.0144251785,0.0442954976,-0.029870319,0.2549905289,0.0,0.2549905289,0.0364272184,-0.036427218,0.0,,,0.0,-0.020253533,,,-0.275728155,0.0993734518,0.0629462334,0.0364272184,-0.041818447,-0.586912065,-0.078245665,-1.098159509,,0.0620719802,0.0,0.0,,0.7305842926,,,,,,,4.7027915576,,,,,,,,,,,,,,,,,,,-0.029433192,-0.06207198,,,,,,,,,12.834377889,,,,,0.6393018563,,0.0232879884,-0.443775906,0.0,-0.045551305,-0.018816695,-0.062039201,,,,0.2587442177,-0.071343066,,,,,,,0.3568166993,,25837.47614618,1.89400295,0.00307436,1.86389299,0.00471477,,0.05455387,,,,,,,,,,,,,17.46759974,,,,,,,46,,-0.177646244,,0.8273972889
20211229,20211231,347725.0,01W,AUS,0.088854,2021,12,20211129,20211130,8.1991864947,0.1032123174,8.1991864947,,,,,,,,,,,,,,,,,-0.554493891,,-0.344630995,,85.970088486,0.0,0.0,0.0,0.0144251785,0.0442954976,-0.029870319,0.2549905289,0.0,0.2549905289,0.0364272184,-0.036427218,0.0,,,0.0,-0.020253533,,,-0.275728155,0.0993734518,0.0629462334,0.0364272184,-0.041818447,-0.586912065,-0.078245665,-1.098159509,,0.0620719802,0.0,0.0,,0.7305842926,,,,,,,4.7027915576,,,,,,,,,,,,,,,,,,,-0.029433192,-0.06207198,,,,,,,,,12.834377889,,,,,0.6275598591,,0.0228602601,-0.435625116,0.0,-0.044714669,-0.01847109,-0.060899733,,,,0.2503236963,-0.069021291,,,,,,,0.3596605744,0.00619123,23230.48008267,1.95900151,0.00276634,1.92943761,0.00488303,,0.04315311,0.0429129,0.0818832,-0.19624611,0.79511995,0.03923615,-0.22846683,0.03653655,-0.59280887,0.05260149,0.07665168,0.04346864,-0.0492259,15.66244654,,,,,,,47,,-0.159314826,,0.8175404001
20220131,20220131,347725.0,01W,AUS,-0.153837,2022,1,20211229,20211231,8.9277158319,0.1123831298,8.9277158319,,,,0.0888538561,0.0554692015,,,,,,,,,,,,-0.554493891,,-0.344630995,,85.970088486,0.0,0.0,0.0,0.0144251785,0.0442954976,-0.029870319,0.2549905289,0.0,0.2549905289,0.0364272184,-0.036427218,0.0,,,0.0,-0.020253533,,,-0.275728155,0.0993734518,0.0629462334,0.0364272184,-0.041818447,-0.586912065,-0.078245665,-1.098159509,,0.0620719802,0.0,0.0,,0.7305842926,,,,,,,4.7027915576,,,,,,,,,,,,,,,,,,,-0.029433192,-0.06207198,,,,,,,,,12.834377889,,,,,0.5763490257,,0.0209947918,-0.400076753,0.0,-0.041065813,-0.016963792,-0.055930125,,,,0.2162740223,-0.059632837,,,,,,,0.3618335501,,19892.55394266,2.08051093,0.00240473,2.0651853,0.00511416,,0.04964358,,,,,,,,,,,,,16.28785917,,,,,,,48,,-0.140744621,,0.8217223785
20220228,20220228,347725.0,01W,AUS,-0.045811,2022,2,20220131,20220131,7.5543049598,0.0950944733,7.5543049598,,,,-0.153836759,,,,,,,,,,,,,-0.554493891,,-0.344630995,,85.970088486,0.0,0.0,0.0,0.0144251785,0.0442954976,-0.029870319,0.2549905289,0.0,0.2549905289,0.0364272184,-0.036427218,0.0,,,0.0,-0.020253533,,,-0.275728155,0.0993734518,0.0629462334,0.0364272184,-0.041818447,-0.586912065,-0.078245665,-1.098159509,,0.0620719802,0.0,0.0,,0.5145830571,,,,,,,4.7027915576,,,-0.028392711,,,,,,,,,,,,,,,,-0.029433192,-0.06207198,,,,,,,,,12.834377889,,,,,0.5786177837,,0.0248117512,-0.472812732,0.0,-0.048531785,-0.020047895,-0.066098505,,,,0.2908579778,-0.080197734,,,,,,,0.4116164521,,19454.86769096,2.27248266,0.00237964,2.22956694,0.00515408,,0.04776919,,,,,,,,,,,,,19.95047587,,,,,,,49,,-0.140529518,,0.868725132
20220316,20220331,347725.0,01W,AUS,-0.040853,2022,3,20220228,20220228,7.2082374587,0.0907381352,7.2082374587,,,,-0.045810634,-0.078651893,,,,,,,,,,,,-0.554493891,,-0.344630995,,85.970088486,0.0,0.0,0.0,0.0144251785,0.0442954976,-0.029870319,0.2549905289,0.0,0.2549905289,0.0364272184,-0.036427218,0.0,,,0.0,-0.020253533,,,-0.275728155,0.0993734518,0.0629462334,0.0364272184,-0.041818447,-0.586912065,-0.078245665,-1.098159509,,0.0620719802,0.0,0.0,,0.5145830571,,,,,,,4.7027915576,,,-0.028392711,,,,,,,,,,,,,,,,-0.029433192,-0.06207198,,,,,,,,,12.834377889,,,,,0.6063972251,,0.0260029635,-0.495512472,0.0,-0.050861797,-0.021010395,-0.069271895,,,,0.3185377351,-0.087829822,,,,,,,0.4156294309,,14185.89018334,2.1956774,0.00174302,2.09204718,0.00580857,,0.0691634,,,,,,,,,,,,,23.58410679,,,,,,,50,,-0.132818443,,0.8598837349
20220429,20220430,347725.0,01W,AUS,0.141621,2022,4,20220316,20220331,6.913759752,0.0870312154,6.913759752,,,,-0.040852942,-0.192600034,-0.072094208,,,,,,,,,,,-0.554493891,,-0.344630995,,85.970088486,0.0,0.0,0.0,0.0144251785,0.0442954976,-0.029870319,0.2549905289,0.0,0.2549905289,0.0364272184,-0.036427218,0.0,,,0.0,-0.020253533,,,-0.275728155,0.0993734518,0.0629462334,0.0364272184,-0.041818447,-0.586912065,-0.078245665,-1.098159509,,0.0620719802,0.0,0.0,,0.5145830571,,,,,,,4.7027915576,,,-0.028392711,,,,,,,,,,,,,,,,-0.029433192,-0.06207198,,,,,,,,,12.834377889,,,,,0.6322254967,,0.0271105075,-0.516617831,0.0,-0.053028153,-0.02190529,-0.072222392,,,,0.3466055368,-0.095568905,,,,,,,0.4161861792,,,,,,,,0.07297954,,,,,,,,,,,,,,,,,,,,51,,-0.117076998,,0.8515224139
