date,ret_eom,gvkey,iid,excntry,stock_ret,year,month,char_date,char_eom,me,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,bidaskhl_21d,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,ami_126d,ivol_capm_252d,betadown_252d,prc_highprc_252d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety
20060331,20060331,166056.0,01C,CAN,0.036853,2006,3,20060228,20060228,6.6495112805,3.5126842475,6.6495112805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
20060428,20060430,166056.0,01C,CAN,0.102739,2006,4,20060331,20060331,6.8945676896,3.6421382407,6.8945676896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00990199,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
20060531,20060531,166056.0,01C,CAN,0.130755,2006,5,20060428,20060430,7.6029055534,4.01632623,7.6029055534,,,,0.1027385466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00989123,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
20060630,20060630,166056.0,01C,CAN,-0.009809,2006,6,20060531,20060531,8.5970265547,4.5414825962,8.5970265547,,,,0.1307554059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00989633,22.67067735,8.77496439,3.43e-06,8.77496439,20.73711705,,,,,,,,,,,,,,,,,,,,,,5,,,,
20060731,20060731,166056.0,01C,CAN,-0.213285,2006,7,20060630,20060630,8.5127005933,4.4969363937,8.5127005933,,,,,0.2469275728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00989556,17.81267506,9.89949494,2.7e-06,9.89949494,20.79556269,,,,,,,,,,,,,,,,,,,,,,6,,,,
20060831,20060831,166056.0,01C,CAN,0.018266,2006,8,20060731,20060731,6.6970659466,3.5378055713,6.6970659466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00988116,14.79357759,10.86278049,2.24e-06,10.86278049,20.83188625,,,,,,,,,,,,,,,,,,,,,,7,,,,
20060929,20060930,166056.0,01C,CAN,-0.353508,2006,9,20060831,20060831,6.8193916998,3.6024256206,6.8193916998,,,,,-0.221002063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00989481,0.0,,0.0,,21.00994442,20.8598776,,,,,,,,,,,,,,,,,,,,,8,,,,
20061031,20061031,166056.0,01C,CAN,-0.157334,2006,10,20060929,20060930,4.4086847072,2.32894068,4.4086847072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95953839,21.58541082,11.13552873,4.26e-06,11.13552873,20.84047193,20.74734594,,,,,,,,,,,,,,,,,,,,,9,,,,
20061130,20061130,166056.0,01C,CAN,-0.018506,2006,11,20061031,20061031,3.7150468079,1.9625181236,3.7150468079,,,,-0.157334431,-0.341699075,-0.420131596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00920616,93.42576217,7.2633946,2.255e-05,7.46826063,20.34304047,20.42966051,,,,,,,,,,,,,,,,,,,,,10,,,,
20061229,20061231,166056.0,01C,CAN,-0.085672,2006,12,20061130,20061130,3.6462958248,1.9261995905,3.6462958248,,,,,,-0.567868404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.10021403,152.82291358,5.82507364,3.88e-05,5.9536789,20.00964099,20.28559993,,,,,,,,,,,,,,,,,,,,,11,,,,
